ROW;BASIS;BITVALUE;DET?
1;+;1;Y
6;X;1;Y
8;+;1;Y
12;X;1;Y
13;X;1;Y
17;+;0;Y
21;X;1;Y
24;X;1;Y
33;X;1;Y
35;X;1;Y
42;+;0;Y
51;X;0;Y
54;+;1;Y
56;+;0;Y
60;+;0;Y
63;X;0;Y
69;+;1;Y
71;X;0;Y
73;X;1;Y
86;+;0;Y
92;X;1;Y
96;+;1;Y
97;X;1;Y
99;+;1;Y
105;+;0;Y
106;+;0;Y
111;X;1;Y
113;X;1;Y
124;+;0;Y
130;X;1;Y
131;+;0;Y
135;+;0;Y
140;+;1;Y
145;X;0;Y
149;X;1;Y
156;+;0;Y
157;+;1;Y
162;+;0;Y
193;X;1;Y
194;X;1;Y
209;+;1;Y
211;X;1;Y
220;+;0;Y
222;X;1;Y
228;X;0;Y
229;+;1;Y
230;+;1;Y
233;X;1;Y
236;X;1;Y
243;X;0;Y
244;X;0;Y
252;X;1;Y
254;+;1;Y
258;X;0;Y
260;+;0;Y
264;X;1;Y
265;X;1;Y
267;+;0;Y
270;X;0;Y
273;X;0;Y
276;X;1;Y
282;X;0;Y
290;+;1;Y
301;X;0;Y
305;X;0;Y
311;+;1;Y
312;X;0;Y
313;X;1;Y
317;+;1;Y
318;+;1;Y
321;+;1;Y
323;+;1;Y
332;+;1;Y
338;+;0;Y
342;+;1;Y
343;+;0;Y
344;X;0;Y
349;+;1;Y
356;X;0;Y
363;X;0;Y
364;+;1;Y
371;+;1;Y
375;+;0;Y
378;+;1;Y
382;X;1;Y
384;+;0;Y
388;+;0;Y
389;X;1;Y
391;+;0;Y
397;+;1;Y
398;+;0;Y
402;X;0;Y
403;X;1;Y
406;X;1;Y
409;X;0;Y
416;X;1;Y
418;X;1;Y
424;+;0;Y
427;+;0;Y
428;X;1;Y
430;X;0;Y
438;+;0;Y
439;+;0;Y
442;X;0;Y
444;+;0;Y
446;X;1;Y
452;+;0;Y
456;+;0;Y
457;+;0;Y
458;+;1;Y
470;+;0;Y
482;X;1;Y
485;+;1;Y
487;X;0;Y
489;X;1;Y
491;X;0;Y
492;X;0;Y
494;+;1;Y
495;+;0;Y
497;X;1;Y
500;X;0;Y
513;X;1;Y
526;X;0;Y
528;X;1;Y
529;X;0;Y
531;+;0;Y
533;+;0;Y
542;X;0;Y
544;+;0;Y
546;X;0;Y
548;X;0;Y
556;+;1;Y
557;X;0;Y
558;+;0;Y
560;+;1;Y
569;+;0;Y
571;X;1;Y
572;X;0;Y
577;X;0;Y
578;X;0;Y
582;X;0;Y
583;X;0;Y
584;+;0;Y
589;X;0;Y
592;+;0;Y
593;+;1;Y
599;+;1;Y
603;+;0;Y
606;+;0;Y
619;+;0;Y
643;+;0;Y
645;X;0;Y
663;+;1;Y
667;+;1;Y
670;+;0;Y
676;X;0;Y
682;+;1;Y
683;X;0;Y
684;X;0;Y
689;X;1;Y
692;+;1;Y
696;X;1;Y
697;+;1;Y
703;X;1;Y
704;X;0;Y
705;+;0;Y
720;X;1;Y
721;X;0;Y
722;+;1;Y
724;+;0;Y
730;X;1;Y
739;+;0;Y
742;X;1;Y
744;X;1;Y
745;+;0;Y
749;+;1;Y
751;X;1;Y
767;X;1;Y
769;+;0;Y
770;+;1;Y
772;X;1;Y
774;X;1;Y
783;+;1;Y
792;+;0;Y
796;X;1;Y
